title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Richard III,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Presidentes muertos,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Restauracion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Todo por un sueño,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Recuerdos de amores pasados,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Seven,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pocahontas,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Cuando cayera la noche,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Los sospechosos de siempre,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Poderoso afrodita,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Lamerica,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Somos los peores,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A casa por vacaciones,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El cartero 2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La llave mágica,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ojo por ojo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Triunfo a la vida,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Los colegas del barrio,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corazones en conflicto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bio-domo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El cortador de césped 2: más allá del ciberespacio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
La amante de mi mujer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Viernes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del crepusculo al amanecer,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Juego justo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pateando y gritando,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Les Misérables,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Días de amor y de rosas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mi querido enemigo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asesinos cibernéticos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nico Icon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vidas cruzadas,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
La jurado,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
El globo blanco,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asuntos pendientes antes de morir,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Memorias de Antonia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... When We Were Colored,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ángeles e insectos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Corazón de héroes,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Las travesuras de Dunston,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovejas asesinas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justo a tiempo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
El secreto de Mery Reilly,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Un Vampiro Suelto en Nueva York,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Chicas lindas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Flecha rota,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sueños de una noche de invierno,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The hater,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Heidi Fleiss: Hollywood Madam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
City Hall: La Sombra de la Corrupción,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Buscando el crimen,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Mi adorado amigo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mio o de nadie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Happy Gilmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los puentes de Madison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nadie me quiere,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La ilsa del tesoro de los Muppets,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pasarela,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corazón Valiente,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Masacre en Nueva York,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antes y después,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Recordando a Anne Frank,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Young Poisoner's Handbook,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Quiereme antes de los 30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Las dos caras del dinero,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los niños de San Vicente,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boomerang,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chungking Express,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Tentados por el desastre,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La historia sin fin 3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La esposa de Júpiter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Un trozo de cielo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Abajo el Periscopio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hombre del año,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Algo muy personal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La jaula de las locas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los hermanos McMullen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
La increíble aventura de panda,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los diarios de baloncesto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Una insolita aventura,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amateur,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Apolo 13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Rob Roy,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
La adicción,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
Más allá de Rangun,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Humos del vecino,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Operación Canadá,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Casper,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los traficantes,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Congo,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Marea roja,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Crumb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pistolero,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Demonio vestido de azul,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
Duro de matar: La venganza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
La generación del doom,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Primer caballero,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Liberen a Willy 2: Regreso a Casa,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hackers,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeffrey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Johnny Mnemonic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Juez Dredd,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
De jurado,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Viviendo en el olvido,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Señor de las ilusiones,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amor y restos humanos,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amor loco,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Vividores del centro comercial,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Power Rangers: La película,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testigo mudo,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nadja,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Nueve meses,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chica fiestera,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La profecía,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Sin frenos,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Refugio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La letra escarlata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Showgirls,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cigarros,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Algo de que hablar,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Especies: el despertar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Días extraños,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
Tres deseos,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Eclipse total,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Reinas o reyes: ¡Gracias por todo! Julie Newmar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alerta máxima 2: Zona de peligro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héroes sin rumbo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unzipped,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Un paseo por las nubes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Waterworld: mundo acuático,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carga del hombre blanco,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wild Bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
La versión Browning,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bushwhacked: atrapado sin salida,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Quemado por el sol,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Antes de la lluvia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Antes del amanecer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El rey de la clase,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La niñera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Con amigos como estos,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La cura,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El monstruo del castillo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Círculo de amigos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Empleados de comercio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Acoso sexual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Zona de peligro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
El destino se equivoca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La muerte y la doncella,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dolores Claiborne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Una pareja de idiotas,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comer, beber, amar",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Exótica,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El secreto de la isla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Wood,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Un beso francés,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Olvídate de París,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lejos de casa: Las aventuras de Yellow Dog,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goofy e hijo,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Escondite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fluke: un perro diferente,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Farinelli, il castrato",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Gordy,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sueños de gloria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Criaturas celestiales,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Huésped por sorpresa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amor inmortal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Pesos pesados,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La caza,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.Q. Inteligencia artificial,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Entrevista con el vampiro: Crónicas vampíricas,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Jefferson en París,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Los chicos Jerky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Causa justa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Un niño en la corte del Rey Arturo,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
El beso de la muerte,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Mujercitas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La princesita,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladybird Ladybird,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Como agua para chocolate,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Leyendas de pasión,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
El sargento Payne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi vida loca,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Affaire de amor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Perder a Isaiah,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La locura del rey Jorge,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frankenstein de Mary Shelley,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
El hombre de la casa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locos de remate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinero para sobrevivir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Milagro en la calle 34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rapsodia en Miami,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi familia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asesinato en primer grado,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Nadie es perfecto,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Conduciendo a Nueva Jersey,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Policía de Nueva York,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Más allá del delirio,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nina tiene un amante,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asesinos natos,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Solo tú,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Una vez éramos guerreros,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hiedra venenosa II,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Estallido,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
El profesional (Léon),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
La familia Pérez,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
La historia de amor de un piromaníaco,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tiempos violentos,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Empujando las manos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sacerdote,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quiz Show: El dilema,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La novia del fotógrafo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La reina Margot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Rápida y mortal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Compañeros de cuarto,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pret-a-Porter (Listo para llevar),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tres colores: Rojo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tres colores: Azul,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tres colores: Blanco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alquila un niño,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miedo relativo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Stuart salva a su familia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La princesa cisne,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El secreto de Roan Inish,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
El especialista,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Stargate: puerta a las estrellas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
El Santa Claus,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sueños de fuga,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tumba abierta,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Sutura,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Fresa y chocolate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nadando con tiburones,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La suma de nosotros,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Viaje de fin de curso,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivir,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tank Girl,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
