Película,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western
From Dusk Till Dawn,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Fair Game,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kicking and Screaming,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Misérables, Les",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bed of Roses,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Big Bully,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Screamers,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Nico Icon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Crossing Guard, The",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Juror, The",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"White Balloon, The ",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Things to Do in Denver When You're Dead,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Antonia's Line ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... When We Were Colored,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Angels and Insects,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
White Squall,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dunston Checks In,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Sheep,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick of Time,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mary Reilly,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Vampire in Brooklyn,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Beautiful Girls,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Broken Arrow,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
In the Bleak Midwinter,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hate ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Heidi Fleiss: Hollywood Madam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
City Hall,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bottle Rocket,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Mr. Wrong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unforgettable,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Happy Gilmore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridges of Madison County, The",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Nobody Loves Me ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Catwalk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Braveheart,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Taxi Driver,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Rumble in the Bronx ,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Before and After,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Anne Frank Remembered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Young Poisoner's Handbook, The",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
If Lucy Fell,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Steal Big, Steal Little",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boys of St. Vincent, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boomerang,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chungking Express ,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Flirting With Disaster,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NeverEnding Story III, The",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter's Wife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pie in the Sky,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jade,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Down Periscope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man of the Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Up Close and Personal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Birdcage, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brothers McMullen, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Amazing Panda Adventure, The",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basketball Diaries, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Awfully Big Adventure, An",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amateur,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Apollo 13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Rob Roy,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"Addiction, The",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Batman Forever,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Beauty of the Day ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beyond Rangoon,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Blue in the Face,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Canadian Bacon,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Casper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clockers,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Congo,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Crimson Tide,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Crumb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Desperado,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Devil in a Blue Dress,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Die Hard: With a Vengeance,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Doom Generation, The",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
First Knight,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Free Willy 2: The Adventure Home,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hackers,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Jeffrey,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Johnny Mnemonic,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Judge Dredd,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Jury Duty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Living in Oblivion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord of Illusions,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Love & Human Remains,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mad Love,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mallrats,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mighty Morphin Power Rangers: The Movie,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mute Witness,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Nadja,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Net, The",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Nine Months,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Party Girl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prophecy, The",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Reckless,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Safe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Scarlet Letter, The",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Showgirls,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smoke,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Something to Talk About,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Species,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Strange Days,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
"Umbrellas of Cherbourg, The ",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Three Wishes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Total Eclipse,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"To Wong Foo, Thanks for Everything! Julie Newmar",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Siege 2: Dark Territory,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Unstrung Heroes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unzipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Walk in the Clouds, A",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Waterworld,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
White Man's Burden,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wild Bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Browning Version, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bushwhacked,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Burnt by the Sun ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Before the Rain ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Before Sunrise,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Billy Madison,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Babysitter, The",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Boys on the Side,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cure, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Castle Freak,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Circle of Friends,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Clerks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Disclosure,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Drop Zone,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Destiny Turns on the Radio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death and the Maiden,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dolores Claiborne,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dumb & Dumber ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat Drink Man Woman ,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Exotica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exit to Eden,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Wood,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
French Kiss,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Forget Paris,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Far From Home: The Adventures of Yellow Dog,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goofy Movie, A",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hideaway,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fluke,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Farinelli: il castrato,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gordy,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoop Dreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Heavenly Creatures,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Houseguest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immortal Beloved,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Heavyweights ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hunted, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I.Q.,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Interview with the Vampire: The Vampire Chronicles,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jefferson in Paris,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jerky Boys, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Just Cause,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Kid in King Arthur's Court, A",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kiss of Death,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Star Wars: Episode IV - A New Hope,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Little Women,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Little Princess, A",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladybird Ladybird,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Like Water for Chocolate ,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Legends of the Fall,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Major Payne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Crazy Life ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Affair,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Losing Isaiah,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Madness of King George, The",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mary Shelley's Frankenstein ,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Man of the House,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Nuts,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk Money,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Miracle on 34th Street,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Miami Rhapsody,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Family,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Murder in the First,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nobody's Fool,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Nell,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Jersey Drive,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York Cop ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Beyond Bedlam,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Nina Takes a Lover,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Natural Born Killers,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Only You,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Once Were Warriors,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Poison Ivy II,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Outbreak,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Léon: The Professional (a.k.a. The Professional) ,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Perez Family, The",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pyromaniac's Love Story, A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Pushing Hands ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Priest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quiz Show,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Picture Bride ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Queen Margot ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Quick and the Dead, The",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Roommates,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ready to Wear ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Colors: Red ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Colors: Blue ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Colors: White ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rent-a-Kid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relative Fear,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Stuart Saves His Family,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swan Princess, The",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secret of Roan Inish, The",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Specialist, The",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Stargate,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Santa Clause, The",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Shawshank Redemption, The",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Shallow Grave,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Suture,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strawberry and Chocolate ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swimming with Sharks,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sum of Us, The",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
National Lampoon's Senior Trip,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Live ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tank Girl,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Tales from the Crypt Presents: Demon Knight,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Star Trek: Generations,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Tales from the Hood,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Tom & Viv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Village of the Damned,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Tommy Boy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanya on 42nd Street,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Underneath,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Walking Dead, The",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
What's Eating Gilbert Grape,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Virtuosity,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
While You Were Sleeping,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"War, The",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Double Happiness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Muriel's Wedding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baby-Sitters Club, The",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: Pet Detective,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Backbeat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bitter Moon,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bullets Over Broadway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
